Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6NJQpFNkDCMaRBogIi9sOI,"Bellbottoms","Orange","The Jon Spencer Blues Explosion",1994-10-14,317986,55,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"garage rock,blues rock","Shove Records (JSBX)",0.311,0.882,2,-3.26,1,0.215,0.00895,0.205,0.253,0.435,162.189,4
spotify:track:39Xb2mnMH7w8rpg5S3u9FS,"Harlem Shuffle","Harlem Shuffle","Bob & Earl",2014-03-07,170109,39,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"northern soul,classic soul","Redwood Records",0.646,0.804,5,-8.007,1,0.0426,0.55,0.0484,0.0584,0.766,117.612,4
spotify:track:1YaeaMx7wMr0ZqL8RYspur,"Egyptian Reggae","Baby Driver (Music from the Motion Picture)","Jonathan Richman;The Modern Lovers",2017-06-23,157040,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"proto-punk,anti-folk","Columbia",0.773,0.423,9,-10.973,0,0.0504,0.263,0.0618,0.146,0.598,103.924,4
spotify:track:4nOM6jFNyZuH48MxOKhE3j,"Smokey Joe's La La","Smokey Joe's LA LA","Googie Rene",2010-09-20,182053,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"","Class & Rendezvous",0.654,0.953,0,-6.954,1,0.0915,0.0399,0.00000535,0.0523,0.769,139.029,4
spotify:track:0TRmtiR9q6XnYDzXmoMpGC,"All My Heroes - Radio Edit","All My Heroes","Naeleck;Sarah Rebecca",2020-07-31,228433,19,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"electro house,hypertechno","Dancing Dead",0.609,0.668,11,-4.515,1,0.0308,0.287,0.0104,0.0974,0.212,82.975,4
spotify:track:7ywctb5E95XqAw9mePzxa2,"Let's Go Away For Awhile","Baby Driver (Music from the Motion Picture)","The Beach Boys",2017-06-23,137466,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"baroque pop","Columbia",0.319,0.395,10,-10.443,1,0.0254,0.11,0.686,0.165,0.118,88.522,3
spotify:track:35w6fQ0Wnuv7aIryRx7gTq,"B-A-B-Y","Carla","Carla Thomas",1966,177000,54,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"soul,classic soul,motown,northern soul","Rhino Atlantic",0.74,0.301,8,-11.975,1,0.0467,0.428,0,0.0782,0.669,113.61,4
spotify:track:3ywFutw3zehdg1D3RvZi4m,"Kashmere","Baby Driver (Music from the Motion Picture)","Kashmere Stage Band",2017-06-23,296706,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"","Columbia",0.699,0.861,0,-6.458,1,0.221,0.153,0.49,0.579,0.481,110.192,4
spotify:track:3FYDiueg0uwQiN7JVtC9CE,"Unsquare Dance","Baby Driver (Music from the Motion Picture)","The Dave Brubeck Quartet",2017-06-23,122000,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"jazz,cool jazz","Columbia",0.652,0.625,7,-10.206,1,0.0833,0.0938,0.89,0.103,0.611,116.91,4
spotify:track:4cZVLiBD4oM9HckNBvxMlT,"Neat Neat Neat","Baby Driver (Music from the Motion Picture)","The Damned",2017-06-23,161586,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"punk,proto-punk,gothic rock,post-punk,deathrock,new wave,horror punk","Columbia",0.319,0.924,1,-5.362,0,0.0883,0.00292,0,0.0675,0.488,176.839,4
