Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ttF21hZCPw2merE3GsHcP,"Curtains Up - Skit","The Eminem Show","Eminem",2002-05-26,29826,19,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.378,0.122,2,-19.785,1,0.036,0.00697,0.958,0.125,0.0313,81.519,4
spotify:track:15qrWkkYCfmtu1uRpGf48L,"White America","The Eminem Show","Eminem",2002-05-26,324546,63,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.558,0.615,1,-5.641,1,0.229,0.0103,0,0.105,0.16,76.673,4
spotify:track:0x60P5taxdI5pcGbqbap6S,"Business","The Eminem Show","Eminem",2002-05-26,251720,71,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.901,0.813,7,-4.509,1,0.199,0.0325,0.0000109,0.144,0.502,96.442,4
spotify:track:7BMO7O7ImjV8HNTH74Tshv,"Cleanin' Out My Closet","The Eminem Show","Eminem",2002-05-26,297840,73,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.908,0.758,9,-4.753,0,0.174,0.0687,0,0.0783,0.87,148.015,4
spotify:track:27mgDrExPa3obPAYXd3yQg,"Square Dance","The Eminem Show","Eminem",2002-05-26,323720,61,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.763,0.675,5,-1.797,0,0.223,0.0307,0,0.0876,0.724,82,4
spotify:track:2J3CYFUn6eAuHz5S9IKape,"The Kiss - Skit","The Eminem Show","Eminem",2002-05-26,75920,50,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.469,0.451,10,-13.949,0,0.404,0.193,0.00000162,0.393,0.565,89.185,4
spotify:track:5QD28FqaM3jTfsqWwvRZwv,"Soldier","The Eminem Show","Eminem",2002-05-26,226213,64,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.851,0.92,8,-2.989,1,0.201,0.0319,0.000525,0.128,0.545,94.516,4
spotify:track:288e3FhmVuCqPmNEfAH0h6,"Say Goodbye Hollywood","The Eminem Show","Eminem",2002-05-26,272840,58,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.717,0.664,9,-5.023,0,0.205,0.0529,0,0.096,0.717,94.331,4
spotify:track:7io19rjxOFu3pGuZgBI6Pk,"Drips","The Eminem Show","Eminem;Obie Trice",2002-05-26,285640,55,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.813,0.687,8,-4.85,1,0.298,0.0346,0,0.0878,0.666,83.944,4
spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,"Without Me","The Eminem Show","Eminem",2002-05-26,290320,87,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:01:55Z,"rap,hip hop","Eminem Catalog PS",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,4
