Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1WopKLOG4Kud0H1r3xrCfT,"Public Service Announcement 2000","The Marshall Mathers LP","Eminem",2000-05-23,27866,17,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.714,0.263,1,-20.277,1,0.913,0.0196,0,0.646,0.671,126.56,5
spotify:track:5eGEc27nnhtmcOh6RC890a,"Kill You","The Marshall Mathers LP","Eminem",2000-05-23,264400,69,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.897,0.559,11,-8.268,1,0.379,0.155,0.000127,0.296,0.677,106.991,4
spotify:track:3UmaczJpikHgJFyBTAJVoz,"Stan","The Marshall Mathers LP","Eminem;Dido",2000-05-23,404106,80,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.78,0.768,6,-4.325,0,0.238,0.0371,0.00000234,0.518,0.507,80.063,4
spotify:track:2vDNkLviUQSxSxulGBFSqJ,"Paul - Skit","The Marshall Mathers LP","Paul ""Bunyan"" Rosenberg",2000-05-23,10600,6,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"","Eminem Catalog PS",0,0.24,10,-20.135,0,0,0.943,0,0.618,0,0,0
spotify:track:15joiMls8SpP1VtGivYh6i,"Who Knew","The Marshall Mathers LP","Eminem",2000-05-23,227760,58,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.855,0.596,7,-4.147,1,0.307,0.135,0,0.139,0.793,100.894,4
spotify:track:0DaZU7iKgXMelfXCkCOgBK,"Steve Berman","The Marshall Mathers LP","Eminem;Steve Berman",2000-05-23,53573,46,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.663,0.626,1,-10.536,1,0.639,0.578,0,0.469,0.837,148.087,1
spotify:track:23wfXwnsPZYe5A1xXRHb3J,"The Way I Am","The Marshall Mathers LP","Eminem",2000-05-23,290426,74,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.785,0.871,4,-2.692,0,0.265,0.144,0,0.309,0.315,87.248,4
spotify:track:3yfqSUWxFvZELEM4PmlwIR,"The Real Slim Shady","The Marshall Mathers LP","Eminem",2000-05-23,284200,84,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4
spotify:track:7996f9NZeypc4jqfc6hJUa,"Remember Me?","The Marshall Mathers LP","Eminem;RBX;Sticky Fingaz",2000-05-23,218840,52,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop,g-funk,west coast hip hop,old school hip hop,gangster rap,east coast hip hop,hardcore hip hop","Eminem Catalog PS",0.806,0.905,8,-3.119,0,0.299,0.00293,0,0.23,0.729,89.982,4
spotify:track:3xVtc7PB4V3AqAfq4Iahli,"I'm Back","The Marshall Mathers LP","Eminem",2000-05-23,309760,59,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.878,0.595,11,-3.924,0,0.203,0.0146,0.000068,0.328,0.851,89.995,4
spotify:track:3X4Oz9LjhhtgyOhVNlfoYa,"Marshall Mathers","The Marshall Mathers LP","Eminem",2000-05-23,321266,60,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.729,0.759,11,-3.177,0,0.127,0.0361,0,0.0694,0.268,95.935,4
spotify:track:4HsaoezrUA96qMzDK3ZWnq,"Ken Kaniff - Skit","The Marshall Mathers LP","Eminem",2000-05-23,61800,42,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.473,0.715,7,-10.571,0,0.846,0.196,0,0.56,0.541,178.249,4
spotify:track:7tEoJKbYdIHBfn7tTIyjHW,"Drug Ballad","The Marshall Mathers LP","Eminem",2000-05-23,300266,59,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.913,0.7,11,-3.411,1,0.0589,0.0239,0,0.125,0.64,104.759,4
spotify:track:0erTM8A9ro5kzcNc962jHd,"Amityville","The Marshall Mathers LP","Eminem;Bizarre",2000-05-23,254773,51,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop,horrorcore","Eminem Catalog PS",0.618,0.929,2,-3.238,0,0.273,0.0217,0,0.326,0.672,79.864,4
spotify:track:7lgvU7WnwcNZ8dbGUz8yhP,"Bitch Please II","The Marshall Mathers LP","Eminem;Dr. Dre;Snoop Dogg;Xzibit;Nate Dogg",2000-05-23,288200,71,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop,old school hip hop,g-funk,gangster rap,west coast hip hop,hardcore hip hop","Eminem Catalog PS",0.918,0.586,1,-2.89,1,0.133,0.0783,0,0.145,0.779,95.517,4
spotify:track:20oenBXlmwIfK0F3fQIjhM,"Kim","The Marshall Mathers LP","Eminem",2000-05-23,377893,56,true,31yozq3lx6f4clx5qj7kjb6umavq,2025-10-16T16:05:09Z,"rap,hip hop","Eminem Catalog PS",0.587,0.923,4,-3.05,0,0.441,0.0216,0,0.481,0.0778,142.075,4
