Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Z2J91b2iTGLVTZC4fKgxf,"Hit 'Em Up - Single Version","Greatest Hits","2Pac;Outlawz",1998-01-01,312626,80,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:08:36Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","2Pac Greatest Hits",0.916,0.844,7,-3.967,1,0.236,0.0394,0,0.0778,0.586,95.19,4
spotify:track:6Tsu3OsuMz4KEGKbOYd6A0,"Hypnotize - 2007 Remaster","Greatest Hits","The Notorious B.I.G.",2007-03-02,230000,70,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:09:49Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.895,0.694,9,-4.384,1,0.275,0.176,0,0.292,0.632,93.944,4
spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,"It Was A Good Day","The Predator","Ice Cube",1992-11-17,260000,79,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:10:13Z,"gangster rap,west coast hip hop,old school hip hop,g-funk,hip hop","Priority Records",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,"Without Me","The Eminem Show","Eminem",2002-05-26,290320,87,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:10:30Z,"rap,hip hop","Eminem Catalog PS",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,4
spotify:track:3ia3dJETSOllPsv3LJkE35,"California Love - Original Version","Greatest Hits","2Pac;Roger;Dr. Dre",1998-01-01,284906,80,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:10:59Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop,quiet storm,rap","2Pac Greatest Hits",0.763,0.85,7,-3.052,1,0.0417,0.0304,0.00000121,0.371,0.761,91.519,4
spotify:track:5g9lS8deSIxItFBmZRC4vN,"Ambitionz Az A Ridah","All Eyez On Me","2Pac",1996-02-13,278386,77,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:11:20Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Amaru Entertainment, Inc./Interscope Records",0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277,4
spotify:track:4VQNCzfZ3MdHEwwErNXpBo,"All Eyez On Me (ft. Big Syke)","All Eyez On Me","2Pac;Big Syke",1996-02-13,307773,78,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:12:09Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Amaru Entertainment, Inc./Interscope Records",0.872,0.723,1,-5.968,1,0.247,0.0293,0,0.327,0.843,93.279,4
spotify:track:4Tttv4p2xuAq1LpQ7LI95E,"Keep Ya Head Up","Greatest Hits","2Pac",1998-01-01,263600,63,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:12:43Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","2Pac Greatest Hits",0.591,0.739,4,-6.451,1,0.429,0.141,0,0.48,0.613,172.414,4
spotify:track:2g8HN35AnVGIk7B8yMucww,"Big Poppa - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,252746,79,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:13:18Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.78,0.575,9,-7.247,0,0.273,0.43,0,0.143,0.773,84.492,4
spotify:track:6jCGzZn0gFeRlbqdaJhw6T,"Party and Bullshit - 2008 Remaster","NOTORIOUS Music From and Inspired by the Original Motion Picture","The Notorious B.I.G.",2009-01-13,217000,1,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:13:28Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.433,0.862,1,-3.89,0,0.412,0.193,0,0.604,0.722,200.817,4
spotify:track:5ByAIlEEnxYdvpnezg7HTX,"Juicy - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,302760,74,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:14:21Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,4
spotify:track:4heC6SnTBxTZZDef4AIBOk,"Unbelievable - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,223720,54,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:14:56Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.749,0.788,6,-7.705,0,0.245,0.181,0.00202,0.277,0.786,182.884,4
spotify:track:2KFg8kjYy0rYjWsXGhEQHN,"Who Shot Ya? - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,319360,66,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:15:35Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.831,0.682,7,-5.697,1,0.238,0.256,0,0.494,0.6,91.771,4
spotify:track:2Ih217RCGAmyQR68Nn7Cqo,"You Know How We Do It","Lethal Injection","Ice Cube",1993-12-07,232773,77,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:17:14Z,"gangster rap,west coast hip hop,old school hip hop,g-funk,hip hop","Priority Records",0.747,0.52,10,-10.523,0,0.0357,0.0977,0.0537,0.142,0.601,92.869,4
spotify:track:13AvIMuWOBUWGBhWGIHb6N,"Friday","Friday (Original Motion Picture Soundtrack)","Ice Cube",1995-04-11,229826,53,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:17:52Z,"gangster rap,west coast hip hop,old school hip hop,g-funk,hip hop","FRONTLINE CATALOG (P81)",0.693,0.759,11,-4.184,1,0.0631,0.0694,0.00000439,0.154,0.63,186.047,4
