Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2D1TqJ7f1OVbD9N7y0OTVZ,"No More","No More","Verzache",2018-05-25,190588,39,false,,1970-01-01T00:00:00Z,"","Zach Farache",0.763,0.4,1,-10.926,0,0.0873,0.911,0.0366,0.11,0.412,102.043,4
spotify:track:0OrxUBA5JghHjUarBa2Vjz,"Lonely Zone","Angel Youth","Vansire;Paul Cherry;Mellow Fellow;Ruru",2018-04-26,237798,51,false,,1970-01-01T00:00:00Z,"bedroom pop,pinoy indie","Vansire",0.538,0.408,9,-11.284,0,0.0322,0.526,0.315,0.0732,0.23,80.912,4
spotify:track:5ZfMb1vgKdvG9Mr2iRXXN2,"i want to be by your side","NEGATIVE","EKKSTACY;herhexx",2021-11-12,157522,46,false,,1970-01-01T00:00:00Z,"","EKKSTACY under exclusive license to UnitedMasters",0.75,0.593,9,-12.074,1,0.0331,0.0792,0.785,0.283,0.846,119.985,4
spotify:track:00iwQgjIgoGO94BRBDyClo,"The Girl I Haven't Met","Falling","Kudasaibeats",2017-12-20,195000,49,false,,1970-01-01T00:00:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","Grape Records",0.785,0.222,8,-21.624,1,0.0418,0.86,0.84,0.106,0.327,139.885,4
spotify:track:7sljA9XJXVCbbXLK5XpDtu,"Maybe","Flood","RICEWINE",2017-01-01,244990,41,false,,1970-01-01T00:00:00Z,"bedroom pop","RICEWINE",0.66,0.306,9,-10.895,1,0.0296,0.953,0.826,0.319,0.491,91.763,4
spotify:track:2z5jvhwVGjSUXUBAAWGsaj,"Hiccup","Hiccup","Verzache",2017-01-02,240000,44,false,,1970-01-01T00:00:00Z,"","Zach's cool label",0.508,0.414,4,-9.066,0,0.125,0.671,0.00114,0.125,0.114,98,4
spotify:track:0p1oF94MG2dOCbMSDsGMDj,"walk but in a garden","walk but in a garden","LLusion",2020-07-03,114000,47,false,,1970-01-01T00:00:00Z,"","Republic Records",0.832,0.351,8,-12.499,0,0.0814,0.832,0.939,0.111,0.406,79.99,4
spotify:track:7szBZqBJuj9eAC8HJ4CyTM,"That I Miss You","That I Miss You","Vansire",2018-07-17,140116,58,false,,1970-01-01T00:00:00Z,"bedroom pop","Vansire",0.779,0.572,4,-9.259,1,0.0396,0.306,0.739,0.106,0.967,114.994,4
spotify:track:1tZQJiCrjMuWZkNdtClr2Z,"Call me","Collection","90sFlav",2018-02-09,126250,62,false,,1970-01-01T00:00:00Z,"lo-fi,lo-fi beats","VinDig",0.733,0.265,8,-12.074,0,0.25,0.952,0.917,0.0866,0.142,153.968,4
spotify:track:72FSEhAkrbLDQtmQZvcFkR,"I'll Keep You Safe","I'll Keep You Safe","Vluestar",2018-05-08,140338,56,false,,1970-01-01T00:00:00Z,"","Vluestar under exclusive license to Amuseio AB",0.54,0.341,10,-10.399,0,0.0717,0.802,0.00921,0.13,0.283,137.753,4
spotify:track:5fLJkVTbcsBz3Rgloeivkf,"Losing My Love","Losing My Love","Verzache",2018-01-05,173731,41,false,,1970-01-01T00:00:00Z,"","Zach Farache",0.831,0.656,11,-6.494,0,0.159,0.714,0.0222,0.229,0.419,133.857,4
spotify:track:2HFLh8qlNfW4EPpHVHz7Ej,"Getting It On","SALES - EP","SALES",2014-09-22,180437,46,false,,1970-01-01T00:00:00Z,"bedroom pop","SALES",0.747,0.538,11,-9.664,0,0.033,0.877,0.766,0.0877,0.3,136.948,4
spotify:track:4YMc3A256xFBS0xcT77Qce,"help herself","help herself","bbno$;Diamond Pistols",2021-01-29,188571,61,false,,1970-01-01T00:00:00Z,"","n/a",0.607,0.851,4,-7.754,0,0.0364,0.623,0.351,0.107,0.479,168.049,4
spotify:track:2z2w98hk0TWjLTCLtACnwJ,"Set Piece","Angel Youth","Vansire;sophie meiers;Ivy Sole",2018-04-26,199490,39,false,,1970-01-01T00:00:00Z,"bedroom pop,alternative r&b","Vansire",0.569,0.483,1,-10.675,0,0.0519,0.351,0.418,0.111,0.642,80.736,4
spotify:track:7M6ZX9qhuICi4S7GnHeq4i,"Is It Too Much to Ask For","Is It Too Much to Ask For - EP","Jordan Maxwell;Shiloh",2017-05-11,100393,44,false,,1970-01-01T00:00:00Z,"lo-fi,lo-fi beats","Create Capital",0.881,0.472,0,-8.228,0,0.0491,0.0447,0.00861,0.125,0.577,105.515,4
spotify:track:2lO7sDzhG2LMhSwpn8MwJB,"Needs","Needs","Verzache",2018-02-14,177479,64,false,,1970-01-01T00:00:00Z,"","Zach Farache",0.814,0.599,11,-7.552,0,0.116,0.194,0.000208,0.401,0.854,118.978,4
spotify:track:6F0gZWBvI3BnV39qCXfsbf,"$orries","$orries","Peachy!;Shiloh",2018-04-10,214857,37,true,,1970-01-01T00:00:00Z,"","Create Capital",0.54,0.235,2,-13.585,0,0.0896,0.78,0.00474,0.131,0.291,104.935,4
spotify:track:6xLeyTBwtgC1hQWFJ1vlC2,"You're in My Head","I Can't Tell You How Much It Hurts","moow;Lotte Kestner",2017-01-27,97050,45,false,,1970-01-01T00:00:00Z,"lo-fi,lo-fi hip hop,lo-fi beats","VinDig",0.751,0.197,2,-11.627,1,0.11,0.958,0.944,0.096,0.324,140.193,4
spotify:track:3B2hdjmWoNNMFSfNgsi8Ph,"Imperfect Girl","Imperfect Girl","ThxSoMch;thekid.ACE",2022-10-14,170302,60,false,,1970-01-01T00:00:00Z,"","Elektra (NEK)",0.766,0.793,3,-6.564,0,0.0456,0.306,0.000199,0.273,0.622,117.71,4
spotify:track:7C5pKQBh9xr7kCsBT6Y2n8,"Halcyon Age","Angel Youth","Vansire",2018-04-26,193379,57,false,,1970-01-01T00:00:00Z,"bedroom pop","Vansire",0.627,0.486,11,-9.634,0,0.0307,0.338,0.143,0.188,0.686,93.055,4
spotify:track:4XY9IiANd3yLulVw4U0brq,"January","January","Verzache",2019-01-01,196363,44,false,,1970-01-01T00:00:00Z,"","Zach Farache",0.694,0.247,4,-13.33,1,0.038,0.932,0.0436,0.113,0.178,87.943,4
spotify:track:2vWBUC9djv6BtiGlmKiQaH,"YKWIM?","Bipolar","Yot Club",2019-05-31,212750,77,false,,1970-01-01T00:00:00Z,"bedroom pop","Yot Club under exclusive license to Amuseio AB",0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,3
spotify:track:7g1251d41qVR8kq6yz9XXa,"pouring outside","pouring outside","dyl dion",2021-09-24,156250,52,false,,1970-01-01T00:00:00Z,"bedroom pop","dyl dion",0.783,0.589,7,-8.32,1,0.0381,0.677,0.0685,0.108,0.326,107.494,4
spotify:track:02dNO2vXHJXpKNoc4mucjR,"I Fall In Love Too Easily","I Fall In Love Too Easily","DJ Pho",2016-09-09,139125,43,false,,1970-01-01T00:00:00Z,"","DJ Pho",0.769,0.388,7,-10.237,1,0.0496,0.628,0.805,0.142,0.17,68.925,4
spotify:track:6dxnJu2lMn5rxfIO7u5Wf0,"Idk.","Idk.","Fallen Roses;Greco Murillo;Donovan's Playground",2022-01-17,115931,43,false,,1970-01-01T00:00:00Z,"lo-fi hip hop,lo-fi beats","Fruits Music",0.777,0.142,11,-19.585,0,0.334,0.736,0.69,0.325,0.541,156.999,4
spotify:track:0yTGQpPOgcsS8Xqp5bQO58,"The Loser","The Loser","Verzache",2016-07-29,131586,62,false,,1970-01-01T00:00:00Z,"","Verzache - The Loser",0.748,0.297,1,-10.613,1,0.132,0.485,0.27,0.138,0.114,123.983,4
spotify:track:2SqEopjZJjyAAp2nFkJi7i,"Nice to See You","Angel Youth","Vansire;FLOOR CRY",2018-04-26,181677,53,false,,1970-01-01T00:00:00Z,"bedroom pop","Vansire",0.541,0.535,1,-9.742,1,0.0321,0.42,0.632,0.261,0.351,78.893,4
spotify:track:5uuD5CBnuAF6VoC57WLxol,"Day in Paris","Day in Paris","LLusion",2019-08-08,197468,43,false,,1970-01-01T00:00:00Z,"","Republic Records",0.789,0.641,6,-6.428,1,0.303,0.853,0.0344,0.112,0.593,78.96,4
spotify:track:4R1JcH7h530B9vnJSEFNpH,"Oblivion","Oblivion","Rufi-O;Lily Potter",2018-12-13,152920,58,false,,1970-01-01T00:00:00Z,"","College Music Records",0.714,0.13,0,-21.954,1,0.0588,0.976,0.864,0.352,0.703,113.027,4
spotify:track:1MprIFeBCp6gqiexinWCjZ,"just friends","just friends","potsu",2018-07-17,172800,52,false,,1970-01-01T00:00:00Z,"lo-fi","potsu recordings",0.582,0.311,11,-16.603,0,0.0453,0.917,0.681,0.235,0.363,74.976,4
spotify:track:1ESjIDmd4LwoGbVuEnBODg,"All I Need","My Head is a Moshpit","Verzache",2021-03-05,203750,43,true,,1970-01-01T00:00:00Z,"","Verzache Music, Inc.",0.663,0.786,9,-5.325,1,0.0353,0.212,0.00000196,0.0957,0.319,145.977,4
spotify:track:6Cvg6ojYitzuxZt1YHFmOI,"time's arrow","time's arrow","Kibishi",2019-05-03,138812,42,false,,1970-01-01T00:00:00Z,"lo-fi","kibishi",0.762,0.343,5,-16.955,1,0.063,0.894,0.663,0.164,0.345,129.775,4
spotify:track:3kaxuMPzoUdM22m6oOCr1v,"Rainy Day Loop","Forever & Ever","SALES",2018-07-19,222000,40,false,,1970-01-01T00:00:00Z,"bedroom pop","SALES UNIVERSE",0.837,0.39,11,-14.145,1,0.0418,0.33,0.405,0.0927,0.497,119.992,4
spotify:track:4vsCZnY7P8ccugYcCx6j7d,"Wish Upon a Star","Starry Nights","Medda;Faye",2019-05-24,140824,46,false,,1970-01-01T00:00:00Z,"lo-fi","863125 Records DK2",0.61,0.27,1,-12.128,1,0.428,0.925,0.0155,0.321,0.468,72.932,4
spotify:track:0ASIqnVJvN1GmH1xEBdf2a,"Fly Out West - Single Version","Fly Out West","Yot Club",2019-05-31,174211,53,false,,1970-01-01T00:00:00Z,"bedroom pop","Yot Club under exclusive license to Amuseio AB",0.499,0.666,2,-15.61,1,0.0446,0.417,0.461,0.0715,0.405,173.325,4
spotify:track:73JjvNZ8X6ofxusuK2Trpv,"French","French","Verzache;sophie meiers",2016-05-27,132923,33,false,,1970-01-01T00:00:00Z,"bedroom pop","Verzache",0.824,0.345,7,-13.312,1,0.08,0.482,0.0275,0.0931,0.133,130.05,4
spotify:track:27VEm9Isx6p3hP18Sf5gIb,"ON TOP 3","ON TOP 3","The Girl Next Door",2020-01-29,179208,40,true,,1970-01-01T00:00:00Z,"","the girl next door",0.504,0.228,10,-19.308,0,0.546,0.731,0.000185,0.0749,0.078,72.314,4
spotify:track:2koESjC2WBc6qmfg0dmTRt,"Her","Her","eery",2016-01-01,123219,48,false,,1970-01-01T00:00:00Z,"lo-fi","eery",0.665,0.394,11,-11.567,0,0.103,0.813,0.0414,0.185,0.499,82.067,4
